Id	|	Official	|	Official_s	|	Sprite	|	Sprite_s	|	Animated	|	Animated_s
1	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/1.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/1.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/1.gif
2	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/2.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/2.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/2.gif
3	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/3.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/3.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/3.gif
4	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/4.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/4.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/4.gif
5	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/5.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/5.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/5.gif
6	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/6.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/6.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/6.gif
7	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/7.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/7.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/7.gif
8	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/8.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/8.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/8.gif
9	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/9.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/9.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/9.gif
10	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/10.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/10.gif
11	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/11.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/11.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/11.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/11.gif
12	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/12.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/12.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/12.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/12.gif
13	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/13.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/13.png	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/13.gif	|	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/shiny/13.gif
