Id	|	Name	|	Description	|	Power	|	Accuracy	|	PP	|	TypeId
1	|	Pound	|	Inflicts regular damage.	|	40	|	100	|	35	|	1
2	|	Karate-Chop	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move.	|	50	|	100	|	25	|	2
3	|	Double-Slap	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	15	|	85	|	10	|	1
4	|	Comet-Punch	|	Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.	|	18	|	85	|	15	|	1
5	|	Mega-Punch	|	Inflicts regular damage.	|	80	|	85	|	20	|	1
6	|	Pay-Day	|	Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used.	|	40	|	100	|	20	|	1
7	|	Fire-Punch	|	Inflicts regular damage.  Has a 10% chance to burn the target.	|	75	|	100	|	15	|	10
8	|	Ice-Punch	|	Inflicts regular damage.  Has a 10% chance to freeze the target.	|	75	|	100	|	15	|	15
9	|	Thunder-Punch	|	Inflicts regular damage.  Has a 10% chance to paralyze the target.	|	75	|	100	|	15	|	13
10	|	Scratch	|	Inflicts regular damage.	|	40	|	100	|	35	|	1
11	|	Vice-Grip	|	Inflicts regular damage.	|	55	|	100	|	30	|	1
12	|	Guillotine	|	Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.	|		|	30	|	5	|	1
13	|	Razor-Wind	|	Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.  This move cannot be selected by sleep talk.	|	80	|	100	|	10	|	1
14	|	Swords-Dance	|	Raises the user's Attack by two stages.	|		|		|	20	|	1
15	|	Cut	|	Inflicts regular damage.	|	50	|	95	|	30	|	1
16	|	Gust	|	Inflicts regular damage.  If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.	|	40	|	100	|	35	|	3
17	|	Wing-Attack	|	Inflicts regular damage.	|	60	|	100	|	35	|	3
18	|	Whirlwind	|	Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.  Doesn't affect Pokémon with suction cups or under the effect of ingrain.	|		|		|	20	|	1
19	|	Fly	|	Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.	|	90	|	95	|	15	|	3
20	|	Bind	|	Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.	|	15	|	85	|	20	|	1
21	|	Slam	|	Inflicts regular damage.	|	80	|	75	|	20	|	1
22	|	Vine-Whip	|	Inflicts regular damage.	|	45	|	100	|	25	|	12
23	|	Stomp	|	Inflicts regular damage.  Has a 30% chance to make the target flinch.  Power is doubled against Pokémon that have used minimize since entering the field.	|	65	|	100	|	20	|	1
24	|	Double-Kick	|	Inflicts regular damage.  Hits twice in one turn.	|	30	|	100	|	30	|	2
25	|	Mega-Kick	|	Inflicts regular damage.	|	120	|	75	|	5	|	1
26	|	Jump-Kick	|	Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect.	|	100	|	95	|	10	|	2
27	|	Rolling-Kick	|	Inflicts regular damage.  Has a 30% chance to make the target flinch.	|	60	|	85	|	15	|	2
