DexId	|	Name	|	Height	|	Weight	|	Catch_rate	|	Growth_rate	|	Gender_rate	|	Is_baby	|	Is_legendary	|	Is_mythic	|	HP	|	Atk	|	Def	|	SpAtk	|	SpDef	|	Spd	|	ImageId	|	PreviousStageId
1	|	Bulbasaur	|	7	|	69	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	45	|	49	|	49	|	65	|	65	|	45	|	1	|	
2	|	Ivysaur	|	10	|	130	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	60	|	62	|	63	|	80	|	80	|	60	|	2	|	1
3	|	Venusaur	|	20	|	1000	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	80	|	82	|	83	|	100	|	100	|	80	|	3	|	2
4	|	Charmander	|	6	|	85	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	39	|	52	|	43	|	60	|	50	|	65	|	4	|	
5	|	Charmeleon	|	11	|	190	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	58	|	64	|	58	|	80	|	65	|	80	|	5	|	4
6	|	Charizard	|	17	|	905	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	78	|	84	|	78	|	109	|	85	|	100	|	6	|	5
7	|	Squirtle	|	5	|	90	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	44	|	48	|	65	|	50	|	64	|	43	|	7	|	
8	|	Wartortle	|	10	|	225	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	59	|	63	|	80	|	65	|	80	|	58	|	8	|	7
9	|	Blastoise	|	16	|	855	|	45	|	medium-slow	|	1	|	FALSE	|	FALSE	|	FALSE	|	79	|	83	|	100	|	85	|	105	|	78	|	9	|	8
10	|	Caterpie	|	3	|	29	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	45	|	30	|	35	|	20	|	20	|	45	|	10	|	
11	|	Metapod	|	7	|	99	|	120	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	50	|	20	|	55	|	25	|	25	|	30	|	11	|	10
12	|	Butterfree	|	11	|	320	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	45	|	50	|	90	|	80	|	70	|	12	|	11
13	|	Weedle	|	3	|	32	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	35	|	30	|	20	|	20	|	50	|	13	|	
14	|	Kakuna	|	6	|	100	|	120	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	45	|	25	|	50	|	25	|	25	|	35	|	14	|	13
15	|	Beedrill	|	10	|	295	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	90	|	40	|	45	|	80	|	75	|	15	|	14
16	|	Pidgey	|	3	|	18	|	255	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	45	|	40	|	35	|	35	|	56	|	16	|	
17	|	Pidgeotto	|	11	|	300	|	120	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	63	|	60	|	55	|	50	|	50	|	71	|	17	|	16
18	|	Pidgeot	|	15	|	395	|	45	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	83	|	80	|	75	|	70	|	70	|	101	|	18	|	17
19	|	Rattata	|	3	|	35	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	30	|	56	|	35	|	25	|	35	|	72	|	19	|	
20	|	Raticate	|	7	|	185	|	127	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	55	|	81	|	60	|	50	|	70	|	97	|	20	|	19
21	|	Spearow	|	3	|	20	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	60	|	30	|	31	|	31	|	70	|	21	|	
22	|	Fearow	|	12	|	380	|	90	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	90	|	65	|	61	|	61	|	100	|	22	|	21
23	|	Ekans	|	20	|	69	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	35	|	60	|	44	|	40	|	54	|	55	|	23	|	
24	|	Arbok	|	35	|	650	|	90	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	95	|	69	|	65	|	79	|	80	|	24	|	23
25	|	Pikachu	|	4	|	60	|	190 	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	35	|	55	|	40	|	50	|	50	|	90	|	25	|	172
26	|	Raichu	|	8	|	300	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	90	|	55	|	90	|	80	|	110	|	26	|	25
27	|	Sandshrew	|	6	|	120	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	50	|	75	|	85	|	20	|	30	|	40	|	27	|	
28	|	Sandslash	|	10	|	295	|	90	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	75	|	100	|	110	|	45	|	55	|	65	|	28	|	27
29	|	Nidoran-F	|	4	|	70	|	235	|	medium-slow	|	8	|	FALSE	|	FALSE	|	FALSE	|	55	|	47	|	52	|	40	|	40	|	41	|	29	|	
30	|	Nidorina	|	8	|	200	|	120	|	medium-slow	|	8	|	FALSE	|	FALSE	|	FALSE	|	70	|	62	|	67	|	55	|	55	|	56	|	30	|	29
31	|	Nidoqueen	|	13	|	600	|	45	|	medium-slow	|	8	|	FALSE	|	FALSE	|	FALSE	|	90	|	92	|	87	|	75	|	85	|	76	|	31	|	30
32	|	Nidoran-M	|	5	|	90	|	235	|	medium-slow	|	0	|	FALSE	|	FALSE	|	FALSE	|	46	|	57	|	40	|	40	|	40	|	50	|	32	|	
33	|	Nidorino	|	9	|	195	|	120	|	medium-slow	|	0	|	FALSE	|	FALSE	|	FALSE	|	61	|	72	|	57	|	55	|	55	|	65	|	33	|	32
34	|	Nidoking	|	14	|	620	|	45	|	medium-slow	|	0	|	FALSE	|	FALSE	|	FALSE	|	81	|	102	|	77	|	85	|	75	|	85	|	34	|	33
35	|	Clefairy	|	6	|	75	|	150	|	fast	|	6	|	FALSE	|	FALSE	|	FALSE	|	70	|	45	|	48	|	60	|	65	|	35	|	35	|	173
36	|	Clefable	|	13	|	400	|	25	|	fast	|	6	|	FALSE	|	FALSE	|	FALSE	|	95	|	70	|	73	|	95	|	90	|	60	|	36	|	35
37	|	Vulpix	|	6	|	99	|	190	|	medium	|	6	|	FALSE	|	FALSE	|	FALSE	|	38	|	41	|	40	|	50	|	65	|	65	|	37	|	
38	|	Ninetales	|	11	|	199	|	75	|	medium	|	6	|	FALSE	|	FALSE	|	FALSE	|	73	|	76	|	75	|	81	|	100	|	100	|	38	|	37
39	|	Jigglypuff	|	5	|	55	|	170	|	fast	|	6	|	FALSE	|	FALSE	|	FALSE	|	115	|	45	|	20	|	45	|	25	|	20	|	39	|	174
40	|	Wigglytuff	|	10	|	120	|	50	|	fast	|	6	|	FALSE	|	FALSE	|	FALSE	|	140	|	70	|	45	|	85	|	50	|	45	|	40	|	39
41	|	Zubat	|	8	|	75	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	45	|	35	|	30	|	40	|	55	|	41	|	
42	|	Golbat	|	16	|	550	|	90	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	75	|	80	|	70	|	65	|	75	|	90	|	42	|	41
43	|	Oddish	|	5	|	54	|	255	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	45	|	50	|	55	|	75	|	65	|	30	|	43	|	
44	|	Gloom	|	8	|	86	|	120	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	65	|	70	|	85	|	75	|	40	|	44	|	43
45	|	Vileplume	|	12	|	186	|	45	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	75	|	80	|	85	|	110	|	90	|	50	|	45	|	44
46	|	Paras	|	3	|	54	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	35	|	70	|	55	|	45	|	55	|	25	|	46	|	
47	|	Parasect	|	10	|	295	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	95	|	80	|	60	|	80	|	30	|	47	|	46
48	|	Venonat	|	10	|	300	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	55	|	50	|	40	|	55	|	45	|	48	|	
49	|	Venomoth	|	15	|	125	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	70	|	65	|	60	|	90	|	75	|	90	|	49	|	48
50	|	Diglett	|	2	|	8	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	10	|	55	|	25	|	35	|	45	|	95	|	50	|	
51	|	Dugtrio	|	7	|	333	|	50	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	35	|	100	|	50	|	50	|	70	|	120	|	51	|	50
52	|	Meowth	|	4	|	42	|	255	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	45	|	35	|	40	|	40	|	90	|	52	|	
53	|	Persian	|	10	|	320	|	90	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	70	|	60	|	65	|	65	|	115	|	53	|	52
54	|	Psyduck	|	8	|	196	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	50	|	52	|	48	|	65	|	50	|	55	|	54	|	
55	|	Golduck	|	17	|	766	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	80	|	82	|	78	|	95	|	80	|	85	|	55	|	54
56	|	Mankey	|	5	|	280	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	80	|	35	|	35	|	45	|	70	|	56	|	
57	|	Primeape	|	10	|	320	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	105	|	60	|	60	|	70	|	95	|	57	|	56
58	|	Growlithe	|	7	|	190	|	190	|	slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	55	|	70	|	45	|	70	|	50	|	60	|	58	|	
59	|	Arcanine	|	19	|	1550	|	75	|	slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	90	|	110	|	80	|	100	|	80	|	95	|	59	|	58
60	|	Poliwag	|	6	|	124	|	255	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	50	|	40	|	40	|	40	|	90	|	60	|	
61	|	Poliwhirl	|	10	|	200	|	120	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	65	|	65	|	50	|	50	|	90	|	61	|	60
62	|	Poliwrath	|	13	|	540	|	45	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	90	|	95	|	95	|	70	|	90	|	70	|	62	|	61
63	|	Abra	|	9	|	195	|	200	|	medium-slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	25	|	20	|	15	|	105	|	55	|	90	|	63	|	
64	|	Kadabra	|	13	|	565	|	100	|	medium-slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	40	|	35	|	30	|	120	|	70	|	105	|	64	|	63
65	|	Alakazam	|	15	|	480	|	50	|	medium-slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	55	|	50	|	45	|	135	|	95	|	120	|	65	|	64
66	|	Machop	|	8	|	195	|	180	|	medium-slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	70	|	80	|	50	|	35	|	35	|	35	|	66	|	
67	|	Machoke	|	15	|	705	|	90	|	medium-slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	80	|	100	|	70	|	50	|	60	|	45	|	67	|	66
68	|	Machamp	|	16	|	1300	|	45	|	medium-slow	|	2	|	FALSE	|	FALSE	|	FALSE	|	90	|	130	|	80	|	65	|	85	|	55	|	68	|	67
69	|	Bellsprout	|	7	|	40	|	255	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	50	|	75	|	35	|	70	|	30	|	40	|	69	|	
70	|	Weepinbell	|	10	|	64	|	120	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	90	|	50	|	85	|	45	|	55	|	70	|	69
71	|	Victreebel	|	17	|	155	|	45	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	80	|	105	|	65	|	100	|	70	|	70	|	71	|	70
72	|	Tentacool	|	9	|	455	|	190	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	40	|	35	|	50	|	100	|	70	|	72	|	
73	|	Tentacruel	|	16	|	550	|	60	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	80	|	70	|	65	|	80	|	120	|	100	|	73	|	72
74	|	Geodude	|	4	|	200	|	255	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	40	|	80	|	100	|	30	|	30	|	20	|	74	|	
75	|	Graveler	|	10	|	1050	|	120	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	55	|	95	|	115	|	45	|	45	|	35	|	75	|	74
76	|	Golem	|	14	|	3000	|	45	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	80	|	120	|	130	|	55	|	65	|	45	|	76	|	75
77	|	Ponyta	|	10	|	300	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	50	|	85	|	55	|	65	|	65	|	90	|	77	|	
78	|	Rapidash	|	17	|	950	|	60	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	100	|	70	|	80	|	80	|	105	|	78	|	77
79	|	Slowpoke	|	12	|	360	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	90	|	65	|	65	|	40	|	40	|	15	|	79	|	
80	|	Slowbro	|	16	|	785	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	95	|	75	|	110	|	100	|	80	|	30	|	80	|	79
81	|	Magnemite	|	3	|	60	|	190	|	medium	|	-1	|	FALSE	|	FALSE	|	FALSE	|	25	|	35	|	70	|	95	|	55	|	45	|	81	|	
82	|	Magneton	|	10	|	600	|	60	|	medium	|	-1	|	FALSE	|	FALSE	|	FALSE	|	50	|	60	|	95	|	120	|	70	|	70	|	82	|	81
83	|	Farfetchd	|	8	|	150	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	52	|	90	|	55	|	58	|	62	|	60	|	83	|	
84	|	Doduo	|	14	|	392	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	35	|	85	|	45	|	35	|	35	|	75	|	84	|	
85	|	Dodrio	|	18	|	852	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	110	|	70	|	60	|	60	|	110	|	85	|	84
86	|	Seel	|	11	|	900	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	65	|	45	|	55	|	45	|	70	|	45	|	86	|	
87	|	Dewgong	|	17	|	1200	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	90	|	70	|	80	|	70	|	95	|	70	|	87	|	86
88	|	Grimer	|	9	|	300	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	80	|	80	|	50	|	40	|	50	|	25	|	88	|	
89	|	Muk	|	12	|	300	|	75	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	105	|	105	|	75	|	65	|	100	|	50	|	89	|	88
90	|	Shellder	|	3	|	40	|	190	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	30	|	65	|	100	|	45	|	25	|	40	|	90	|	
91	|	Cloyster	|	15	|	1325	|	60	|	slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	50	|	95	|	180	|	85	|	45	|	70	|	91	|	90
92	|	Gastly	|	13	|	1	|	190	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	30	|	35	|	30	|	100	|	35	|	80	|	92	|	
93	|	Haunter	|	16	|	1	|	90	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	45	|	50	|	45	|	115	|	55	|	95	|	93	|	92
94	|	Gengar	|	15	|	405	|	45	|	medium-slow	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	65	|	60	|	130	|	75	|	110	|	94	|	93
95	|	Onix	|	88	|	2100	|	45	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	35	|	45	|	160	|	30	|	45	|	70	|	95	|	
96	|	Drowzee	|	10	|	324	|	190	|	medium	|	4	|	FALSE	|	FALSE	|	FALSE	|	60	|	48	|	45	|	43	|	90	|	42	|	96	|	
