PokemonId	|	MoveId
1	|	Razor-Wind
1	|	Swords-Dance
1	|	Cut
1	|	Bind
1	|	Vine-Whip
1	|	Headbutt
1	|	Tackle
1	|	Body-Slam
1	|	Take-Down
1	|	Double-Edge
1	|	Growl
1	|	Strength
1	|	Mega-Drain
1	|	Leech-Seed
1	|	Growth
1	|	Razor-Leaf
1	|	Solar-Beam
1	|	Poison-Powder
1	|	Sleep-Powder
1	|	Petal-Dance
1	|	String-Shot
1	|	Toxic
1	|	Rage
1	|	Mimic
1	|	Double-Team
1	|	Defense-Curl
1	|	Light-Screen
1	|	Reflect
1	|	Bide
1	|	Sludge
1	|	Skull-Bash
1	|	Amnesia
1	|	Flash
1	|	Rest
1	|	Substitute
1	|	Snore
1	|	Curse
1	|	Protect
1	|	Sludge-Bomb
1	|	Mud-Slap
1	|	Outrage
1	|	Giga-Drain
1	|	Endure
1	|	Charm
1	|	False-Swipe
1	|	Swagger
1	|	Fury-Cutter
1	|	Attract
1	|	Sleep-Talk
1	|	Return
1	|	Frustration
1	|	Safeguard
1	|	Sweet-Scent
1	|	Synthesis
1	|	Hidden-Power
1	|	Sunny-Day
1	|	Rock-Smash
1	|	Facade
1	|	Nature-Power
1	|	Helping-Hand
1	|	Ingrain
1	|	Knock-Off
1	|	Secret-Power
1	|	Weather-Ball
1	|	Grass-Whistle
1	|	Bullet-Seed
1	|	Magical-Leaf
1	|	Natural-Gift
1	|	Worry-Seed
1	|	Seed-Bomb
1	|	Energy-Ball
1	|	Leaf-Storm
1	|	Power-Whip
1	|	Captivate
1	|	Grass-Knot
1	|	Venoshock
1	|	Acid-Spray
1	|	Round
1	|	Echoed-Voice
1	|	Grass-Pledge
1	|	Work-Up
1	|	Grassy-Terrain
1	|	Confide
1	|	Grassy-Glide
1	|	Tera-Blast
1	|	Trailblaze
2	|	Swords-Dance
2	|	Cut
2	|	Bind
2	|	Vine-Whip
2	|	Headbutt
2	|	Tackle
2	|	Body-Slam
2	|	Take-Down
2	|	Double-Edge
2	|	Growl
2	|	Roar
2	|	Strength
2	|	Mega-Drain
2	|	Leech-Seed
2	|	Growth
2	|	Razor-Leaf
2	|	Solar-Beam
2	|	Poison-Powder
2	|	Sleep-Powder
2	|	Petal-Dance
2	|	String-Shot
2	|	Toxic
2	|	Rage
2	|	Mimic
2	|	Double-Team
2	|	Defense-Curl
2	|	Light-Screen
2	|	Reflect
2	|	Bide
2	|	Amnesia
2	|	Flash
2	|	Rest
2	|	Substitute
2	|	Snore
2	|	Curse
2	|	Protect
2	|	Sludge-Bomb
2	|	Mud-Slap
2	|	Outrage
2	|	Giga-Drain
2	|	Endure
2	|	Charm
2	|	False-Swipe
2	|	Swagger
2	|	Fury-Cutter
2	|	Attract
2	|	Sleep-Talk
